met2013,occ_group,occ_group_code,current_emp,supply_baseline,supply_low_immigration,supply_no_immigration,supply_high_domestic,growth_baseline,growth_low_immigration,growth_no_immigration,growth_high_domestic
33700,Computer and Mathematical,1000,3376.0,3816.007497320976,3710.414848838977,3602.139659916808,3825.971590204302,0.13033397432493365,0.09905653105419926,0.06698449642085538,0.13328542363871498
33700,Construction and Extraction,6200,15764.4,14078.474942704817,13818.384034759109,13554.101390499422,14199.818989991418,-0.10694508241957712,-0.12344370640435984,-0.1402082292697837,-0.09924773603870633
33700,"Education, Training, and Library",2200,13355.6,13745.792001033276,13522.250116575868,13295.481093682927,13744.265511596865,0.02921561000878098,0.012477920615761667,-0.004501400634720515,0.029101314175092374
33700,"Farming, Fishing, and Forestry",6000,6964.2,5352.4072388560735,5255.201549677731,5156.495530520674,5371.8088379967685,-0.2314397577817877,-0.24539766955605363,-0.25957101597876653,-0.22865385284788364
33700,Food Preparation and Serving,4000,9933.6,10738.5503756601,10545.457815471225,10349.252443744914,10988.706305735423,0.08103309733229627,0.06159477082540318,0.04184308244190557,0.10621590417727955
33700,Healthcare Practitioners and Technical,3000,11618.4,12007.223329510916,11828.750737665887,11647.927771199376,11941.883342996536,0.03346616827712218,0.01810496605951656,0.0025414662259325704,0.027842331387844976
33700,Healthcare Support,3600,4617.799999999999,5048.627691181204,4979.643591565072,4909.819691140224,5103.363339220598,0.09329717423474476,0.07835843725693456,0.06323783861150878,0.10515036147529117
33700,"Installation, Maintenance, and Repair",7000,8434.400000000001,7918.440539320212,7796.425033590853,7672.765387739821,7848.387425266235,-0.061173226391893834,-0.07563963843416822,-0.09030098314760752,-0.06947886924188633
33700,Legal,2100,1084.9999999999998,1158.1778451359032,1140.325634001444,1122.2282797878702,1171.05775234747,0.06744501855843626,0.05099136774326676,0.03431177860633228,0.07931590078107836
33700,"Life, Physical, and Social Science",1600,1170.8000000000002,1613.2667644288772,1576.1016251669055,1538.138216557835,1653.4577399610687,0.3779183160478963,0.3461749446249619,0.31374975790727255,0.4122461051939431
33700,Management,10,19280.800000000003,23746.156396269875,23433.834518595406,23117.80055388918,24381.640176500845,0.23159601242012107,0.21539741704677196,0.19900629402769476,0.26455542179270775
33700,Office and Administrative Support,5000,26224.2,27845.997325103766,27490.63498958111,27131.254572074682,28757.979271382083,0.061843538605706266,0.04829260719416076,0.03458845539900848,0.09661988817131056
33700,Personal Care and Service,4300,8936.6,9148.405214607474,9008.389242149611,8866.475661728611,9338.676372186452,0.023700872211744273,0.00803317169277018,-0.007846869980908638,0.04499209679144758
33700,Production,7700,16739.0,16311.237492123746,16089.16205550883,15864.4362008641,16570.626752930504,-0.02555484245631484,-0.03882179010043432,-0.05224707563987693,-0.010058739893034019
33700,Protective Service,3700,4166.0,4891.117786400422,4822.10526676671,4752.216440847817,4918.638175998461,0.1740561177149358,0.15749046249800996,0.14071446011709476,0.18066206817053776
33700,Sales and Related,4700,17094.8,18652.331554559118,18382.006646916914,18108.186955177753,18797.619797273295,0.09111142303853315,0.07529814018981867,0.059280421834578684,0.09961039598435178
33700,Transportation and Material Moving,9000,24303.6,23202.950458412946,22881.76388224526,22556.690212631056,23545.172553215794,-0.045287510557573823,-0.05850310726619663,-0.07187864297342553,-0.03120638287266922
33740,Architecture and Engineering,1300,896.0,813.6122067274607,790.7197571630153,767.2541191134941,794.2190987259112,-0.09195066213453053,-0.11750027102342042,-0.14368959920368962,-0.11359475588625992
33740,"Arts, Design, Entertainment, Sports, Media",2600,751.6,908.6237428672532,890.8277907541682,872.7138636437504,926.4177177403427,0.20891929599155545,0.1852418716793084,0.16114138324075344,0.2325940895959855
33740,Building and Grounds Cleaning and Maintenance,4200,2430.6,2202.026831801275,2143.3120249379267,2083.208252026466,2205.404321969661,-0.09403981247376153,-0.11819631986426123,-0.1429242771223294,-0.09265024192805853
33740,Business and Financial Operations,500,2499.3999999999996,2607.3840830301165,2560.210214436668,2512.2747615418116,2616.652677610471,0.04320400217256817,0.024329924956657062,0.005151140890538558,0.046912330003389374
33740,Community and Social Service,2000,1463.4,1980.9709297820632,1961.299937238608,1941.4515457697337,2164.1737018562158,0.35367700545446423,0.3402350261299766,0.32667182299421454,0.47886681826992994
33740,Computer and Mathematical,1000,1055.0000000000002,1170.002347676492,1132.1532641390074,1093.1731018861308,1138.4669553375513,0.10900696462226706,0.07313105605593098,0.03618303496315686,0.07911559747635166
33740,Construction and Extraction,6200,3157.6,3415.858746739796,3342.7649262115865,3268.259986656829,3406.1556095168235,0.08178957016081717,0.05864103313009458,0.03504560003066526,0.07871662323182907
33740,"Education, Training, and Library",2200,3808.2,4598.203020908784,4525.359698231331,4451.470980984666,4664.896536506499,0.20744788112724777,0.18831986193774775,0.16891733128109526,0.22496101478559405
33740,Food Preparation and Serving,4000,3025.2000000000003,2829.008921735612,2757.1665296677543,2683.701083208727,2761.4093180014684,-0.06485226704495183,-0.08860024802731922,-0.11288474044402783,-0.08719776609762403
33740,Healthcare Practitioners and Technical,3000,6017.0,6285.199523321935,6210.038973779206,6134.085010835328,6586.484107269529,0.04457362860593908,0.03208226255263516,0.01945903454135406,0.09464585462348818
33740,Healthcare Support,3600,2004.0,1703.1414728194497,1676.8765509073514,1650.262988102624,1790.311514291136,-0.15012900557911693,-0.16323525403824782,-0.17651547499869072,-0.10663098089264664
33740,"Installation, Maintenance, and Repair",7000,2077.0,2188.3007560081164,2155.5111056091073,2122.2848760999977,2241.69647523674,0.05358726817916057,0.03780024343240607,0.02180302171400958,0.07929536602635529
33740,Legal,2100,703.4,727.8882673495605,716.6887760379442,705.3364390881844,731.4268113504546,0.034814141810577764,0.01889220363654287,0.0027529699860455725,0.03984477018830618
33740,Management,10,6013.6,7470.462816552262,7350.112658152482,7227.999116719912,7512.624792259038,0.24226134371296087,0.22224834677272864,0.20194211732072498,0.249272447828096
33740,Office and Administrative Support,5000,7228.0,7000.85508831219,6872.613991739292,6742.2982964474995,6827.854143721851,-0.031425693371307434,-0.04916795908421523,-0.06719724730942173,-0.055360522451321226
33740,Personal Care and Service,4300,2179.9999999999995,1937.2911247659574,1893.8125915117212,1849.477506235507,1931.598623236857,-0.11133434643763403,-0.13127862774691662,-0.15161582282774883,-0.11394558567116633
33740,Production,7700,3228.9999999999995,3182.9706815001064,3122.247232806808,3060.4966386548263,3120.1113477150175,-0.01425497630842154,-0.03306062780835914,-0.05218437948131732,-0.03372209733198572
33740,Protective Service,3700,1844.8,1838.8152475226627,1815.6446744213852,1792.2177757065972,1986.8770657974044,-0.0032441199465184367,-0.01580405766403664,-0.028502940315157627,0.07701488822495897
33740,Sales and Related,4700,6144.0,5627.609485073007,5534.190880588376,5439.418496135582,5833.074519179744,-0.08404793537223203,-0.09925278636256903,-0.11467797914459933,-0.05060636081058853
33740,Transportation and Material Moving,9000,3823.4,3693.619159732412,3618.7973149052564,3542.632801549225,3742.8616556395195,-0.03394383016885183,-0.053513282705116835,-0.07343390658857962,-0.02106458763416874
33780,Architecture and Engineering,1300,1969.4,1973.4702044152148,1945.013537512589,1916.195190334067,1892.2334357551606,0.002066723070587362,-0.012382686344780625,-0.02701574574283183,-0.03918277863554352
33780,"Arts, Design, Entertainment, Sports, Media",2600,798.0,818.7096582209471,803.4241121290517,787.8842459129307,814.5054141970153,0.02595195265782846,0.006797132993798971,-0.012676383567755939,0.020683476437362458
33780,Building and Grounds Cleaning and Maintenance,4200,1862.6000000000004,1667.985953176358,1627.7620174744727,1586.6830045203803,1690.2795628274598,-0.10448515345411913,-0.12608073796066122,-0.14813539969914094,-0.09251607278671783
33780,Business and Financial Operations,500,2758.2000000000003,2609.1945303457114,2570.4965078422156,2531.296514230887,2630.094813485384,-0.054022721214664934,-0.06805289397352803,-0.08226505901280293,-0.04644521300653193
33780,Community and Social Service,2000,816.9999999999999,655.4205955144486,643.1716316100517,630.7264486669917,645.5813660829705,-0.19777160891744344,-0.2127642207955303,-0.22799700285557922,-0.20981472939660883
33780,Computer and Mathematical,1000,1164.4,1881.5931555665313,1858.286473253148,1834.7116178417245,2054.558648692361,0.615933661599563,0.5959176170157574,0.5756712623168366,0.7644783997701484
33780,Construction and Extraction,6200,3009.2000000000003,3814.2079749690906,3758.7897935715405,3702.6396624911154,3823.705745616551,0.2675156104509804,0.2490993598203975,0.23043987188990928,0.27067185485064177
33780,"Education, Training, and Library",2200,3501.6,2859.854551829735,2808.8682776743335,2757.1015815779224,2870.9267142334475,-0.18327206082084324,-0.19783291133358083,-0.21261663765766442,-0.18011003134754194
33780,Food Preparation and Serving,4000,2328.0,2338.1256740132676,2290.1465868380237,2241.289891991706,2315.6278278964555,0.0043495163287232685,-0.016260057200161715,-0.03724660996919832,-0.005314506917330042
33780,Healthcare Practitioners and Technical,3000,5885.2,5482.692636472555,5424.072543627282,5364.909513298058,5764.873864314992,-0.06839314951530033,-0.07835374437108633,-0.08840659394785932,-0.020445547421499233
33780,Healthcare Support,3600,2091.0,2486.7500507834925,2465.1466770363904,2443.3757817270744,2620.9374112769806,0.18926353456886286,0.17893193545499309,0.1685202208163913,0.2534373081190724
33780,"Installation, Maintenance, and Repair",7000,3207.2,3255.7534014114444,3219.3278071141704,3182.5443883845164,3288.589377607748,0.015138875471265967,0.003781431502298066,-0.007687581571303115,0.025377082067768758
33780,Management,10,6412.8,6446.618569037863,6352.483819210418,6257.136530289367,6501.4339488241585,0.005273604203758581,-0.00940559206424374,-0.02427386940347942,0.013821411680413759
33780,Office and Administrative Support,5000,7408.0,7044.460941923299,6954.3467826065435,6863.227240706216,7175.944630515148,-0.04907384693260003,-0.061238285285293834,-0.07353843942950643,-0.03132496888294442
33780,Personal Care and Service,4300,1562.6,1431.4863229416878,1402.9591840901412,1373.9328198304058,1429.8412449014336,-0.08390738324479202,-0.10216358371295192,-0.12073926799538853,-0.08496016581247043
33780,Production,7700,6646.8,6847.634901850277,6776.552756539035,6704.822319674299,6984.323222881515,0.030215276802412566,0.01952108631808308,0.00872936144826067,0.050779807257855664
33780,Protective Service,3700,1160.1999999999998,1382.55691941247,1363.924830326991,1345.0666125608195,1348.6742274791186,0.1916539557080419,0.17559457880278517,0.15934029698398527,0.1624497737279081
33780,Sales and Related,4700,4806.599999999999,4851.854755625588,4784.675259549528,4716.6758523975095,4884.949950519376,0.009415128287269259,-0.004561382359770216,-0.018708473266443926,0.016300493180080977
33780,Transportation and Material Moving,9000,5170.400000000001,4411.854880555474,4336.849710976726,4260.743208919274,4310.261081525734,-0.14670917519815233,-0.16121582257142092,-0.17593547715471272,-0.16635829306712574
