czone,total_emp,recent_immigrants,interstate_movers,intercounty_movers,young_entrants,established_immigrants,n_obs,pct_recent_immigrants,pct_interstate_movers,pct_intercounty_movers,pct_young_entrants,pct_established_immigrants,pct_foreign_born
1400,264734.8069283262,1176.824725805968,1728.089323756844,10680.844933992625,29608.17138032466,29964.461223250626,21413.0,0.44452965571866765,0.6527624167775956,4.034545006726047,11.184087096012547,11.31867077507611,11.76320043079478
1500,188431.8759441793,306.1990013360977,294.07808802723883,5963.078220754862,17668.194086784126,10399.111120277643,9131.0,0.1624985156050803,0.15606599815115993,3.1645804038597762,9.376435912583132,5.518764311065,5.681262826670081
1600,80474.83500112891,344.8108446598053,264.6125496387482,965.0779234945774,7053.0006329,5287.072342735529,4820.0,0.42847039655933217,0.32881403190828057,1.1992294528855376,8.764231244215734,6.569845520853024,6.998315917412355
1701,1070842.449220059,7380.171146622069,5727.990588846109,39138.09803506529,99206.2249647181,181647.95235511477,55111.0,0.6891929949169803,0.5349050733857303,3.6548885471967663,9.264315683131006,16.96308849984578,17.652281494762764
1702,31100.897941225023,101.64104953408241,74.79607049673795,430.23725779801606,2597.6394363805653,2238.3847447633743,7080.0,0.32681065905609963,0.2404948906558543,1.3833596014207865,8.352297227204263,7.197170798712982,7.523981457769081
1800,97811.640229702,392.99562311172485,277.9971757888794,1464.3950192928314,9212.335330677033,14061.278427934647,4673.0,0.4017881943179864,0.28421686328542045,1.497158227644306,9.41844478739205,14.375874277246528,14.777662471564515
1900,227926.3181411676,1226.647170768083,940.3031166799104,10210.183159267044,37124.987500461,16006.474997896945,16922.0,0.5381770656288807,0.41254696883995984,4.479598162483063,16.288153032624958,7.022653254102597,7.560830319731479
2000,422841.2239159584,800.8642925590277,1810.5292547404765,15688.703603035212,43476.72665396631,42836.167156657575,21974.0,0.18940071290641308,0.42818182152938034,3.710306071328895,10.282045409699103,10.130556041804347,10.319956754710761
2100,54471.10531882942,68.235155621171,59.66581371724605,1861.8466772049665,3963.2803956627845,2993.674298030138,7240.0,0.1252685349815798,0.10953663115152712,3.418044606047986,7.2759316567287815,5.4958941635342455,5.621162698515826
2200,37017.46830280572,27.9520594894886,47.68337419182062,618.6884196326137,3061.0394844561815,1359.7145304173232,7652.0,0.07551045701137263,0.12881316950626384,1.6713417961803738,8.269175675161371,3.673169972875385,3.7486804298867575
2300,69767.9344308883,68.65944565534592,40.206627221405505,2049.0080214440823,10117.177909430862,3580.3256797492504,5270.0,0.09841117730575721,0.05762909214581084,2.9368907624373164,14.501185955924893,5.131763909817195,5.230175087122952
2400,456145.07377847296,1707.4649790626906,1541.8113779545165,9536.648937126734,40619.479629655216,53895.093156572875,29677.0,0.3743249850138515,0.33800899463474154,2.0907052350976856,8.904947562665576,11.81534039382108,12.189665378834931
2500,166556.37066479577,436.43122870261504,930.13159155377,6469.056160349311,17284.993724410422,18433.510240468262,20551.0,0.2620321438085115,0.5584485227681342,3.8840040369087157,10.377864056126356,11.06743030416216,11.329462447970672
2600,47224.49148230888,84.68547709211707,167.58868261761964,651.1408010598273,4327.084168045595,2042.6779112286865,13553.0,0.1793253340247014,0.3548766272695626,1.3788201431533804,9.162796744283835,4.325463011060499,4.504788345085201
2700,175679.2687559234,263.4091554306448,580.5250147230923,6023.365935922973,15385.6759885557,8903.23044941891,11305.0,0.14993752950816705,0.3304459421046621,3.428615099879212,8.75782105510212,5.067889064240381,5.217826593748548
2800,44577.897300756726,67.97984514534474,15.083288624882698,558.0295353762806,4939.732715287804,1319.6014791972934,7030.0,0.15249675121888434,0.03383580100945375,1.2518076651560859,11.081125432993339,2.9602147232164153,3.1127114744352995
2900,74400.87726473398,63.98962067291141,63.33158716782928,2017.5943381022662,9830.165919529647,2498.828768497333,12069.0,0.08600654054820195,0.08512209734097913,2.7117883716925015,13.212432811177543,3.35860121595875,3.4446077565069526
3001,13655.813959126175,15.867521769553424,27.232585506141184,167.82783188559114,1397.8379453051834,352.45451542288066,13829.0,0.1161960892045484,0.19942118124670014,1.2289844632324674,10.236211107511531,2.580985040348587,2.697181129553135
3002,12031.230979347787,23.637001451849937,17.602820619940758,103.73795856796205,1055.281159316562,318.8805040175095,9596.0,0.19646369928749632,0.14630938970548305,0.8622389408534628,8.771181944125296,2.6504395482464256,2.846903247533922
3003,208248.8145403713,443.11492451131346,277.080022598058,2954.5125670932234,19456.59566685632,7699.047196590155,15659.0,0.21278148713082387,0.13305238889815768,1.4187416017777421,9.342956265945247,3.697042508300863,3.9098239954316867
3101,35946.04402586371,10.333217668533326,56.35348413586617,460.3302903100848,3414.999457848072,854.1880808368326,5790.0,0.028746466957806045,0.15677242284385734,1.2806146066556598,9.500348509535375,2.3763062222430698,2.405052689200876
3102,15512.097071428598,14.367186106741428,19.223780150711537,142.25299432724714,1366.0673881471157,422.0758861809969,9000.0,0.09261923800879279,0.12392766794967658,0.9170455398274932,8.806464927706301,2.7209466536823674,2.81356589169116
3201,8300.750829029083,5.597602653503418,9.672328114509583,58.69251017570495,724.2721609830857,111.6639411687851,2222.0,0.06743489557508082,0.11652353279517642,0.7070747138975386,8.725381304666891,1.3452269977587814,1.4126618933338622
3202,23407.299239630996,8.887833958864212,31.244680732488632,260.86690399497746,2141.2864225044846,474.8822970315814,10860.0,0.0379703521874757,0.13348263895216125,1.114468189278764,9.147943129120438,2.0287786821110747,2.0667490342985504
3203,26860.53449905589,32.98945062756538,25.319212320819496,257.3143953729421,2243.0903211470695,751.3852492440492,18268.0,0.12281755088948403,0.09426175909384614,0.9579645385760522,8.350877460111267,2.797357771381874,2.9201753222713576
3300,499367.0954651665,2354.820512398705,1327.122868290171,11108.697863318772,38375.54034016132,50228.657175766115,24825.0,0.4715610086814313,0.26576097631221374,2.224555435109493,7.684835602636983,10.0584635295158,10.53002453819723
3400,119479.57281064987,432.52297924757005,199.03868610858916,463.4835032939911,11208.88062992096,4980.218219399452,6955.0,0.36200579653312664,0.16658804632991436,0.38791861436307234,9.381420075618022,4.168259144424677,4.530264940957802
3500,372662.3023182638,1522.5794600874185,1012.8771232515574,4749.102087267488,38581.25948427692,19378.34256068319,13204.0,0.4085681461783849,0.2717948976729426,1.2743714772661994,10.352874236076465,5.199973928174134,5.60854207435252
