czone,lat,lon
21101,45.6668315,-91.483298
21102,45.664469,-92.411398
21201,44.840182,-94.34326399999999
21202,44.5636165,-95.104929
21301,44.198120800000005,-94.27745680000001
21302,44.128165333333335,-93.36960333333333
21400,45.65966975,-94.003512
21501,45.03955358333334,-93.17870691666667
21502,46.02435,-93.030441
21600,46.88416525,-93.85882125
21701,44.079040799999994,-92.46456839999999
21702,43.6702255,-93.0549015
21801,43.22550025,-93.49667074999999
21802,43.2238694,-92.41234779999999
21900,41.87168525,-92.77197375
22001,42.62076216666667,-92.31406583333334
22002,42.563376500000004,-93.256542
22100,41.4948832,-91.364777
22200,41.9948835,-91.70783525
22300,41.0702645,-92.438372375
22400,43.9486845,-87.65443400000001
22500,44.101162714285714,-88.716532
22601,44.79242325,-87.67483425
22602,45.011936,-88.83071133333334
22700,44.727657428571426,-89.98699885714286
22800,44.5456575,-91.499896125
22900,43.8105178,-90.83385
23000,42.860974,-90.341195
23100,43.361770666666665,-89.7783535
23200,42.6829516,-91.032667
23301,39.449543000000006,-88.0000485
23302,38.9607124,-88.4008882
23400,40.523478000000004,-88.76641466666666
23500,39.913242000000004,-88.51755728571428
23600,40.69513216666667,-91.34181000000001
23700,40.675608499999996,-90.4288095
23801,41.352606800000004,-90.37288659999999
23802,42.0311495,-90.55441250000001
23900,40.911943875,-89.432805125
24000,42.676066,-88.31625299999999
24100,43.21124066666667,-88.28715999999999
24200,40.944188499999996,-87.847359
24300,41.8156545,-88.15348175
24400,42.063952625,-89.359402125
24500,37.7646624,-91.6765942
24600,37.74179083333333,-90.39625699999999
24701,38.518927454545455,-90.73014954545455
24702,39.0748325,-91.65442250000001
24801,39.79971416666667,-90.44665583333334
24802,39.863564,-89.5253675
24900,39.075247166666664,-89.961495
25000,39.73277816666667,-91.35742850000001
25101,36.398840666666665,-92.48902500000001
25102,36.861551199999994,-91.6928572
25103,36.1121995,-93.1329985
25104,35.668756333333334,-92.23880266666667
25105,36.001925666666665,-91.648212
25200,37.40169542857143,-87.83001757142857
25300,36.5234478,-88.9357824
25401,37.09820514285714,-88.66337785714286
25402,36.620978,-88.274086
25500,38.3987356,-89.04539919999999
25601,37.66609233333333,-89.22570300000001
25602,37.67934566666667,-88.34637866666667
25701,37.0037405,-89.69629316666668
25702,36.855320500000005,-90.6694
25800,36.043295,-89.96680099999999
25900,36.044484000000004,-90.73786150000001
26001,48.764584,-95.3630685
26002,47.0406955,-92.1224545
26003,47.758556,-90.344319
26004,48.245374,-93.782896
26101,39.64121125,-92.288119
26102,39.447267333333336,-93.41753066666666
26103,39.691204,-93.0348195
26104,40.266977,-93.5663425
26105,40.3440965,-93.062157
26106,40.839192000000004,-93.17904833333334
26107,40.31114225,-92.35306675
26201,47.153616,-101.270892
26202,46.357827,-101.639049
26203,46.287405,-99.71963799999999
26204,46.938273,-99.731198
26301,48.08552433333333,-98.76487033333332
26302,47.5974335,-98.886675
26303,48.725227000000004,-99.5443105
26304,48.48943025,-101.16580325
26305,47.800364333333334,-99.99323199999999
26401,45.556718000000004,-103.9945975
26402,46.318184,-104.405718
26403,46.277989,-103.48420250000001
26404,46.005302,-102.48514366666666
26405,48.794429,-105.541739
26406,47.9561875,-105.376196
26407,48.705523,-104.533913
26408,48.299996500000006,-107.2996605
26409,47.05600666666667,-104.33913366666667
26410,47.059543999999995,-102.87945466666667
26411,47.912727,-103.44383933333334
26412,48.652324,-103.17691533333334
26501,44.250690999999996,-96.99105466666667
26502,44.0249955,-97.36567249999999
26503,43.3704256,-97.0013426
26504,44.814601249999996,-97.19814650000001
26601,45.45416566666666,-96.549773
26602,45.57186733333333,-97.36995033333334
26603,45.8981445,-101.1204745
26604,45.60659,-100.0149815
26605,45.354886199999996,-98.8524274
26701,47.3633896,-95.3684606
26702,48.6720885,-97.6279435
26703,48.099154,-96.16088866666666
26704,47.6493835,-97.183638
26801,46.7564774,-96.72513380000001
26802,46.22174533333333,-97.92470766666666
26803,46.79298933333333,-98.51745833333332
26804,47.456334,-98.232286
26901,45.8912778,-95.725291
26902,46.22467966666667,-94.71860099999999
27001,42.42543666666666,-98.69288033333333
27002,41.735428999999996,-98.99378300000001
27003,42.54326366666667,-99.68770733333334
27004,43.2624355,-99.541405
27005,42.8078415,-97.60519475000001
27006,43.776178,-98.15550225
27007,44.2408375,-98.451296
27008,43.31146699999999,-98.23431966666665
27009,43.88966366666667,-99.37961066666666
27010,44.5419435,-99.2386555
27011,44.50692033333333,-100.28496833333334
27012,45.052713,-99.962003
27101,45.0345482,-95.659761
27102,44.125595249999996,-96.15988825
27201,43.183324,-96.00361166666666
27202,43.75071440000001,-95.49827680000001
27301,43.189632,-94.807238
27302,43.57722633333333,-94.3879
27401,42.56591125,-95.34683475
27402,42.57663316666667,-94.19073883333334
27501,41.640185625,-93.947218
27502,40.88249725,-94.01479525
27503,41.564005333333334,-95.04884366666666
27504,42.04171133333333,-94.88182233333333
27601,44.12648883333333,-103.30343783333332
27602,45.0689065,-101.24939
27603,43.9828015,-101.5835895
27604,43.951991,-100.686138
27605,43.396742,-100.7343095
27701,42.08606183333333,-103.39463183333334
27702,41.23544666666667,-103.79182566666667
27703,42.110524,-104.6537515
27704,42.8496005,-102.0227305
27801,42.067403,-97.6132485
27802,41.4968434,-97.559267
27901,40.40831566666667,-98.34983066666666
27902,40.862007,-97.58803666666667
27903,41.03137125,-98.267348
28001,42.44268557142857,-96.48855842857142
28002,41.97470166666667,-96.553402
28101,40.5206526,-96.9574704
28102,40.3363752,-96.0425658
28201,40.8526054,-95.0590574
28202,41.302097,-96.10083122222221
28301,40.32234075,-102.7667405
28302,41.008840500000005,-101.989971
28303,41.633364,-102.302985
28304,41.99438175,-101.40421475
28305,41.727189333333335,-100.08265866666666
28306,41.41363033333334,-100.76966566666665
28401,38.56363125,-105.12832675
28402,38.99374,-103.507555
28501,37.30978,-102.543741
28502,38.048637400000004,-103.4896818
28503,37.503323,-104.502019
