occ_group,occ_group_code,met2013,dominant_statefip,total_emp,emp_projected,emp_proj_lo,emp_proj_hi,emp_growth_pct,log_wage
Architecture and Engineering,1300,18140,39,21150.6,23562.71335566658,17698.49866991777,31369.974992567415,0.11404467748747464,11.36065609546006
Architecture and Engineering,1300,18580,48,3917.4,4258.58285125441,3198.72001967613,5669.620282313537,0.08709420821320525,11.343857755578792
Architecture and Engineering,1300,19100,48,89125.20000000001,100614.37493855131,75573.78278746974,133951.90859698283,0.12891050946927798,11.518612007536372
Architecture and Engineering,1300,19300,1,2384.6000000000004,2779.889924081073,2088.0395810627083,3700.9777305439843,0.1657678118263325,11.385823023492526
Architecture and Engineering,1300,19380,39,12391.2,13139.561130810245,9869.428095428682,17493.218962734678,0.06039456475645978,11.368894484070124
Architecture and Engineering,1300,19460,1,2545.0,2862.4409961394917,2150.0455995111247,3810.881247468933,0.12473123620412249,11.549699011599175
Architecture and Engineering,1300,19660,12,3706.999999999999,4481.901258422364,3366.459637459991,5966.932936526765,0.20903729658008224,11.244388417634507
Architecture and Engineering,1300,19740,8,54985.8,59106.183218140344,44396.02049560219,78690.40638366315,0.07493540547087323,11.532818606773109
Architecture and Engineering,1300,19780,19,5474.6,5655.722358166176,4248.143799167163,7529.687530570828,0.03308412635921806,11.317170584681165
Architecture and Engineering,1300,19820,26,87849.8,90415.9125495553,67913.48194255687,120374.29105878426,0.02921022642687062,11.474831039999923
Architecture and Engineering,1300,20100,10,809.2,961.2857716737768,722.0439638921174,1279.7978807846061,0.1879458374614147,11.240934019526833
Architecture and Engineering,1300,20700,42,2035.2,2153.2510312142454,1617.3566234374084,2866.708514521159,0.05800463404787997,11.378570657713924
Architecture and Engineering,1300,20740,55,997.2,747.2917596007537,561.3081148039246,994.8991636478764,-0.2506099482543585,11.1219466259042
Architecture and Engineering,1300,21140,18,1625.4,1845.9829962983033,1386.5604996981097,2457.6303907145752,0.13570997680466543,11.171990572317302
Architecture and Engineering,1300,21340,48,6036.000000000001,6922.279463309981,5199.484118187413,9215.905247320528,0.14683225038270048,11.087277235184068
Architecture and Engineering,1300,21500,42,2302.7999999999997,2404.1561761418643,1805.8172776391482,3200.748487043808,0.04401432001991688,11.217607244831672
Architecture and Engineering,1300,21660,41,2388.6000000000004,2799.153072352274,2102.5085770102523,3726.6235239814555,0.171880211149742,11.202920221466336
Architecture and Engineering,1300,22180,37,2138.6,2411.1179102237616,1811.0463970333772,3210.016919789967,0.12742818209284656,10.933384816756393
Architecture and Engineering,1300,22220,5,4302.4,5193.4953498650375,3900.954408534,6914.30637847576,0.20711587715345806,11.233354129642349
Architecture and Engineering,1300,22380,4,1990.2,2221.177093232202,1668.377458777174,2957.14117542413,0.11605722702854081,11.462560550862133
Architecture and Engineering,1300,22500,45,1033.4,741.2079893684471,556.7384543518667,986.7995990023604,-0.2827482200808525,11.329281261075256
Architecture and Engineering,1300,22660,8,6473.0,7133.015340732192,5357.772707025336,9496.466280550672,0.10196436594039739,11.466723932386753
Architecture and Engineering,1300,23060,18,4733.4,5229.967961493369,3928.3498302177773,6962.863813157587,0.1049072466923078,11.283279966368214
Architecture and Engineering,1300,23420,6,5099.0,6264.96375073324,4705.759092162013,8340.794764308388,0.2286651795907511,11.44440144772355
Architecture and Engineering,1300,23540,12,1918.0,2185.550255646846,1641.6173175277297,2909.7097532764715,0.1394943981474692,11.090971929298489
Architecture and Engineering,1300,23580,13,1100.0,1328.9448579173495,998.201202264675,1769.2770068580635,0.20813168901577228,11.209886373065112
Architecture and Engineering,1300,24020,36,935.2,1056.322657117711,793.4283653926387,1406.3242563656568,0.12951524499327524,11.32469770701655
Architecture and Engineering,1300,24140,37,881.1999999999999,966.8227420509223,726.2029103333055,1287.1694690921076,0.0971660713242424,11.048248703085848
Architecture and Engineering,1300,24300,8,1448.8,1601.7711331733394,1203.1273241781994,2132.5014497695784,0.10558471367568986,11.066529030151807
Architecture and Engineering,1300,24340,26,14590.2,15694.987909757965,11788.868219560303,20895.360004001835,0.07572123135789532,11.29576654104735
Architecture and Engineering,1300,24660,37,6896.4,7691.6712939105055,5777.392107177747,10240.22711217145,0.1153168745882643,11.31435876729646
Architecture and Engineering,1300,24780,37,1592.0,1739.8412727114576,1306.8349975724045,2316.3197035993917,0.09286512104991054,11.096552907941616
Architecture and Engineering,1300,24860,45,14367.8,15840.170589292211,11897.918286156899,21088.6474644737,0.10247710778909866,11.371788320192708
Architecture and Engineering,1300,25060,28,2860.3999999999996,3226.573455666437,2423.553907036399,4295.665235497857,0.1280147726424407,11.203463611538483
Architecture and Engineering,1300,25420,42,4914.4,5656.570669735355,4248.780985596084,7530.816921414293,0.15101958931616385,11.302012185940042
Architecture and Engineering,1300,25500,51,1114.2,1199.0803394012107,900.6569604987047,1596.383221801116,0.07618052360546641,11.09625695251419
Architecture and Engineering,1300,25540,9,18078.800000000003,18405.48875177514,13824.788057108015,24503.95729701959,0.018070267483192376,11.44502992940842
Architecture and Engineering,1300,25860,37,2821.2,3230.3114686821177,2426.3616150192424,4300.641800507743,0.14501328111517012,11.17605917156584
