occ_group,met2013,period,total_emp,emp_20_29,emp_30_54,emp_55_plus,mean_wage,share_foreign_born,share_college,n_obs,share_20_29,share_30_54,share_55_plus,log_emp,log_wage,occ_group_code,dominant_statefip
Legal,43900,P3,1002.8,128.8,648.6,225.40000000000003,85254.46,0.0,0.6084962106102912,46.0,0.12844036697247707,0.6467889908256881,0.2247706422018349,6.910551366284138,11.353395710492833,2100,45
Legal,44060,P1,2409.2000000000003,195.4,1458.0,755.7999999999998,73947.00650958101,0.013033372073717414,0.6940893242570146,123.0,0.08110576124854722,0.605180142785987,0.3137140959654656,7.787050021169566,11.21110398739508,2100,53
Legal,44060,P2,2719.0000000000005,326.0,1670.6000000000001,722.4000000000001,89093.07362741986,0.07649871276204485,0.710849577050386,122.0,0.11989702096358953,0.6144170650974623,0.26568591393894814,7.908019444632471,11.397436873371223,2100,53
Legal,44060,P3,2917.6000000000004,340.4,1797.1999999999998,780.0,98433.94797728387,0.026528653687962703,0.7372497943515217,146.0,0.1166712366328489,0.6159857417055112,0.26734302166163965,7.978516639494471,11.497141023310753,2100,53
Legal,44100,P1,1468.0,148.4,942.6,377.0,83681.10434911681,0.07179836512261581,0.8551771117166211,90.0,0.1010899182561308,0.6420980926430517,0.25681198910081743,7.291656209174461,11.334768476500347,2100,17
Legal,44100,P2,1031.0000000000002,34.599999999999994,497.40000000000003,499.0,94659.58517921869,0.0,0.7802133850630455,63.0,0.033559650824442275,0.48244422890397665,0.4839961202715809,6.93828448401696,11.458042421232369,2100,17
Legal,44100,P3,1367.6000000000001,171.00000000000003,853.2,343.4000000000001,97611.15424817083,0.0,0.7774202983328456,69.0,0.12503656039777714,0.623866627668909,0.2510968119333139,7.220812657765146,11.488747051200733,2100,17
Legal,44140,P1,2452.7999999999997,333.2,1617.1999999999998,502.4,102366.49166151944,0.03669275929549903,0.7977005870841489,127.0,0.1358447488584475,0.6593281148075668,0.20482713633398567,7.804985508117549,11.536314708168193,2100,25
Legal,44140,P2,2016.3999999999999,54.4,1404.2,557.8000000000001,98646.0337823391,0.04582424122197976,0.7958738345566356,99.0,0.02697877405276731,0.6963896052370562,0.2766316207101766,7.609069022208476,11.499293305699178,2100,25
Legal,44140,P3,2795.4,409.79999999999995,1699.1999999999998,686.4,102370.24950555303,0.04163983687486585,0.8239965657866494,137.0,0.14659798239965655,0.6078557630392787,0.2455462545610646,7.935730488050806,11.536351417202562,2100,25
Legal,44180,P1,1434.8000000000002,272.59999999999997,919.1999999999999,243.0,68903.40157480317,0.05519933091720099,0.6990521327014217,60.0,0.1899916364650125,0.6406467800390298,0.1693615834959576,7.268780745658128,11.140460825519,2100,29
Legal,44180,P2,1304.4,273.79999999999995,859.2,171.40000000000003,55175.08028259474,0.0665440049064704,0.6692732290708371,57.0,0.20990493713584785,0.6586936522539099,0.13140141061024227,7.173498443915165,10.918266686177702,2100,29
Legal,44180,P3,1641.6,73.4,1205.6,362.59999999999997,95325.5167873601,0.0,0.7726608187134504,68.0,0.04471247563352827,0.7344054580896686,0.22088206627680312,7.4034266549764505,11.465052806031396,2100,29
Legal,44700,P1,1322.6000000000001,238.79999999999998,738.0,345.8,77066.91603590916,0.07742325722062604,0.5480114925147436,69.0,0.18055345531528805,0.55799183426584,0.2614547104188719,7.187354775240562,11.252429362867082,2100,6
Legal,44700,P2,1192.6000000000001,227.79999999999998,626.9999999999999,337.79999999999995,74707.60584488574,0.14472580915646488,0.6216669461680361,62.0,0.19101123595505615,0.525742076136173,0.28324668790877067,7.083891076689006,11.221337184477054,2100,6
Legal,44700,P3,1713.3999999999999,307.4,1033.0,373.0,96353.87473460723,0.19948640130734216,0.7185712618186062,75.0,0.17940936150344344,0.6028948289949808,0.21769580950157583,7.446234979529944,11.475782888234809,2100,6
Legal,45060,P1,3116.6,504.8,1903.6,708.2,101501.4266803942,0.03612911506128473,0.7864339344157094,173.0,0.16197137906693193,0.6107938137714175,0.22723480716165054,8.044497943011514,11.52782813332967,2100,36
Legal,45060,P2,2940.7999999999997,566.6,1553.2,821.0,107763.6510145777,0.04651795429815017,0.8012105549510338,180.0,0.19266866158868337,0.5281556039173014,0.2791757344940153,7.986436932161368,11.587695691491902,2100,36
Legal,45060,P3,3006.3999999999996,546.6,1894.2,565.6,102767.69716088328,0.04670037253858436,0.7572511974454498,192.0,0.18181213411389038,0.6300558807876531,0.18813198509845666,8.0084986286592,11.540226352670128,2100,36
Legal,45220,P1,1423.3999999999999,224.6,874.8000000000001,324.0,92407.15188984123,0.08121399466067164,0.8514823661655193,84.0,0.1577912041590558,0.6145847969650134,0.2276239988759309,7.26080365486517,11.433959656039649,2100,12
Legal,45300,P1,16263.600000000002,2280.2,10365.599999999999,3617.8,85279.50661822289,0.09186158046189034,0.6745370028775916,980.0,0.1402026611574313,0.6373496642809708,0.22244767456159767,9.69668476080997,11.35368945394934,2100,12
Legal,45300,P2,17378.2,2515.0,11659.199999999999,3204.0,93115.11000760313,0.10752552047968143,0.678597323082943,1009.0,0.14472154768618153,0.6709095303311043,0.18436892198271396,9.76297182613716,11.44159174878147,2100,12
Legal,45300,P3,20597.600000000002,2394.6,14104.599999999999,4098.4,103218.93339023001,0.14556064784246706,0.7257738765681438,1047.0,0.11625626286557655,0.6847690993125412,0.19897463782188213,9.932929843136085,11.54460757828593,2100,12
