met2013,state_abbr,metro_name,lat,lon,metro_name_short
34620,IN,"Muncie, IN Metro Area",40.227543,-85.399262,Muncie
34740,MI,"Muskegon-Norton Shores, MI Metro Area",43.428739,-86.420908,Muskegon-Norton Shores
34820,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",33.909269,-78.976675,Myrtle Beach-Conway-North Myrtle Beach
34900,CA,"Napa, CA Metro Area",38.5071,-122.325904,Napa
34940,FL,"Naples-Marco Island, FL Metro Area",26.118786,-81.400955,Naples-Marco Island
34980,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",36.091577,-86.72298,Nashville-Davidson--Murfreesboro--Franklin
35300,CT,"New Haven, CT Metro Area",41.290167,-72.837024,New Haven
35380,LA,"New Orleans-Metairie, LA Metro Area",29.282447,-89.576068,New Orleans-Metairie
35620,NY,"New York-Newark-Jersey City, NY-NJ Metro Area",40.735425,-73.80773,New York-Newark-Jersey City
35660,MI,"Niles, MI Metro Area",41.791382,-86.742543,Niles
35840,FL,"North Port-Bradenton-Sarasota, FL Metro Area",27.329055,-82.414533,North Port-Bradenton-Sarasota
35980,CT,"Norwich-New London-Willimantic, CT Metro Area",41.484769,-72.101666,Norwich-New London-Willimantic
36100,FL,"Ocala, FL Metro Area",29.202805,-82.0431,Ocala
36140,NJ,"Ocean City, NJ Metro Area",39.278,-74.575,Ocean City
36220,TX,"Odessa, TX Metro Area",31.865301,-102.542507,Odessa
36260,UT,"Ogden, UT Metro Area",41.124342,-111.866933,Ogden
36420,OK,"Oklahoma City, OK Metro Area",35.430968,-97.506966,Oklahoma City
36500,WA,"Olympia-Lacey-Tumwater, WA Metro Area",46.935822,-122.830152,Olympia-Lacey-Tumwater
36540,NE,"Omaha, NE-IA Metro Area",41.290459,-95.99997,Omaha
36740,FL,"Orlando-Kissimmee-Sanford, FL Metro Area",28.434396,-81.356084,Orlando-Kissimmee-Sanford
36780,WI,"Oshkosh-Neenah, WI Metro Area",44.085707,-88.668149,Oshkosh-Neenah
36980,KY,"Owensboro, KY Metro Area",37.664375,-87.147386,Owensboro
37100,CA,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",34.358748,-119.133145,Oxnard-Thousand Oaks-Ventura
