met2013,occ_group,occ_group_code,dominant_statefip,total_emp,emp_projected,metro_demand_current,metro_demand_projected,metro_supply_projected,growth_rate_regression,stock_gap,stock_gap_pct,gap_severity,gap_category
17300,Architecture and Engineering,1300,47,2137.1999999999994,2675.835991160199,8317.904889661124,8482.631868918177,10414.256632417482,0.2520288186225901,-1931.6247634993051,-0.2277152649494446,0.0,Large Surplus
17460,Architecture and Engineering,1300,39,20659.4,21930.04195716871,80536.5380436096,82131.47580831457,85489.88152518816,0.06150430105272696,-3358.405716873589,-0.040890604775101355,0.0,Moderate Surplus
17660,Architecture and Engineering,1300,16,1681.6000000000004,1950.8227712503392,6618.664815624907,6749.740209760275,7678.30758658093,0.16009917414982086,-928.5673768206543,-0.13757083205631013,0.0,Large Surplus
17780,Architecture and Engineering,1300,48,2087.6000000000004,2440.2434361455635,8184.97534290335,8347.069798347991,9567.60507546138,0.16892289526037702,-1220.5352771133894,-0.1462232024650077,0.0,Large Surplus
17820,Architecture and Engineering,1300,8,11084.6,12388.237183990768,43626.523825904085,44490.49925970108,48757.35025786444,0.11760795914970029,-4266.8509981633615,-0.09590476774056389,0.0,Moderate Surplus
17900,Architecture and Engineering,1300,45,7324.4,7793.016700081841,28527.85821229801,29092.821141103137,30353.076766152215,0.06398021682074183,-1260.255625049078,-0.04331843993185502,0.0,Moderate Surplus
18140,Architecture and Engineering,1300,39,21150.6,23562.71335566658,82750.96219333765,84389.75419848145,92188.26898845505,0.11404467748747464,-7798.514789973604,-0.09241068260054175,0.0,Moderate Surplus
18580,Architecture and Engineering,1300,48,3917.4,4258.58285125441,15340.067710265559,15643.860918895729,16676.098761428097,0.08709420821320525,-1032.2378425323677,-0.06598357322939122,0.0,Moderate Surplus
19100,Architecture and Engineering,1300,48,89125.20000000001,100614.37493855132,349239.1939423245,356155.49296466535,394259.7963600696,0.12891050946927815,-38104.30339540425,-0.10698783016996631,0.0,Large Surplus
19300,Architecture and Engineering,1300,1,2384.6000000000004,2779.889924081073,9310.69132048925,9495.079345642727,10854.10424727718,0.1657678118263325,-1359.0249016344533,-0.14312938861939126,0.0,Large Surplus
19380,Architecture and Engineering,1300,39,12391.2,13139.561130810243,48293.48855160361,49249.88810081929,51210.152773248774,0.060394564756459636,-1960.2646724294827,-0.039802418807868785,0.0,Moderate Surplus
19460,Architecture and Engineering,1300,1,2545.0,2862.4409961394917,9950.142674802657,10147.194332370207,11191.236271038186,0.12473123620412249,-1044.0419386679787,-0.10288971556772272,0.0,Large Surplus
19660,Architecture and Engineering,1300,12,3706.999999999999,4481.901258422364,14525.746060099513,14813.412521988179,17562.168747311494,0.20903729658008224,-2748.7562253233154,-0.18555860921602094,0.0,Large Surplus
19740,Architecture and Engineering,1300,8,54985.8,59106.183218140344,216409.86013445622,220695.6199518954,232626.62075152667,0.07493540547087323,-11931.000799631263,-0.054060886220722644,0.0,Moderate Surplus
19780,Architecture and Engineering,1300,19,5474.6,5655.722358166176,21374.861352570446,21798.167027419386,22082.029966469654,0.03308412635921806,-283.8629390502683,-0.013022330670886411,0.0,Balanced
19820,Architecture and Engineering,1300,26,87849.8,90415.9125495553,340486.5262445043,347229.4882872297,350432.21477140486,0.02921022642687062,-3202.7264841751894,-0.00922365925766616,0.0,Balanced
20100,Architecture and Engineering,1300,10,809.2,961.2857716737768,3161.1174970557045,3223.7199604493226,3755.23637235377,0.1879458374614147,-531.5164119044475,-0.16487673198213057,0.0,Large Surplus
20700,Architecture and Engineering,1300,42,2035.2,2153.251031214246,8000.336779349773,8158.774670643705,8464.393386495753,0.05800463404788019,-305.6187158520479,-0.0374588989387956,0.0,Moderate Surplus
20740,Architecture and Engineering,1300,55,997.2,747.2917596007537,3914.5864054723315,3992.1104938296894,2933.5521089596955,-0.2506099482543585,1058.558384869994,0.26516259670320486,53.032519340640974,Severe Shortage
21140,Architecture and Engineering,1300,18,1625.4,1845.9829962983033,6300.912335837555,6425.694990774634,7156.0090027823,0.13570997680466543,-730.314012007666,-0.1136552564440387,0.0,Large Surplus
21340,Architecture and Engineering,1300,48,6036.000000000001,6922.279463309981,23615.90248309037,24083.58951847641,27083.47858950093,0.14683225038270048,-2999.8890710245214,-0.12456154298440734,0.0,Large Surplus
21500,Architecture and Engineering,1300,42,2302.7999999999997,2404.1561761418643,8960.833815019285,9138.293296169077,9355.238822198835,0.04401432001991688,-216.94552602975818,-0.023740267356127137,0.0,Moderate Surplus
21660,Architecture and Engineering,1300,41,2388.6000000000004,2799.153072352274,9354.502432998046,9539.758089161638,10962.356286382525,0.171880211149742,-1422.5981972208865,-0.1491230892780328,0.0,Large Surplus
22180,Architecture and Engineering,1300,37,2138.6,2411.1179102237616,8331.187956970032,8496.177992799876,9392.816093000542,0.12742818209284656,-896.6381002006656,-0.10553428858958999,0.0,Large Surplus
22220,Architecture and Engineering,1300,5,4302.4,5193.4953498650375,16921.03564394173,17256.13818773158,20425.65078368165,0.20711587715345806,-3169.512595950069,-0.1836745024563761,0.0,Large Surplus
22380,Architecture and Engineering,1300,4,1990.2,2221.177093232202,7736.984698679523,7890.207190987132,8634.917688370519,0.11605722702854081,-744.7104973833866,-0.09438414978938177,0.0,Moderate Surplus
22500,Architecture and Engineering,1300,45,1033.4,741.2079893684471,3983.9303212388927,4062.8276897582155,2857.4811139824574,-0.2827482200808525,1205.346575775758,0.29667676500636675,59.33535300127335,Severe Shortage
22660,Architecture and Engineering,1300,8,6473.0,7133.015340732192,25393.94261039729,25896.841779494207,27983.219867393294,0.10196436594039739,-2086.3780878990874,-0.08056496254115186,0.0,Moderate Surplus
23060,Architecture and Engineering,1300,18,4733.4,5229.967961493369,18382.491405201712,18746.536476715028,20310.947965866435,0.1049072466923078,-1564.4114891514073,-0.08345069453733783,0.0,Moderate Surplus
23420,Architecture and Engineering,1300,6,5099.0,6264.96375073324,19948.930157966683,20343.996830154334,24510.555855181483,0.2286651795907511,-4166.559025027149,-0.20480533200100487,0.0,Large Surplus
23540,Architecture and Engineering,1300,12,1918.0,2185.550255646846,7495.838083847595,7644.284932054164,8541.465505964794,0.1394943981474692,-897.1805739106303,-0.11736618688146426,0.0,Large Surplus
23580,Architecture and Engineering,1300,13,1100.0,1328.9448579173495,4282.3700069497345,4367.177645972231,5173.6669094866675,0.20813168901577228,-806.4892635144361,-0.18467058793869914,0.0,Large Surplus
24020,Architecture and Engineering,1300,36,935.2,1056.322657117711,3658.6977866153966,3731.154281658126,4132.554926805244,0.12951524499327524,-401.40064514711776,-0.1075808221387016,0.0,Large Surplus
24140,Architecture and Engineering,1300,37,881.1999999999999,966.8227420509224,3455.048430398141,3523.471873401647,3790.7619126149193,0.09716607132424253,-267.2900392132724,-0.07585984756427869,0.0,Moderate Surplus
