met2013,soc_code,soc_title,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
10740,23-2,Paralegals and Legal Assistants,Legal,2100,low,495.84,463.18,411.75,363.71,318.70
10740,25-1,"Postsecondary Teachers, All Other","Education, Training, and Library",2200,low,837.19,683.03,445.55,229.56,32.30
10740,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,2528.17,2062.64,1345.49,693.23,97.54
10740,25-3,Self-Enrichment Teachers,"Education, Training, and Library",2200,low,453.66,370.13,241.44,124.40,17.50
10740,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,980.65,800.08,521.90,268.90,37.83
10740,27-1,Graphic Designers,"Arts, Design, Entertainment, Sports, Media",2600,low,539.90,473.53,369.94,274.21,185.45
10740,27-2,Producers and Directors,"Arts, Design, Entertainment, Sports, Media",2600,low,336.69,295.30,230.70,171.00,115.65
10740,27-3,Public Relations Specialists,"Arts, Design, Entertainment, Sports, Media",2600,low,574.45,503.83,393.61,291.76,197.32
10740,27-4,Audio and Video Technicians,"Arts, Design, Entertainment, Sports, Media",2600,low,253.89,222.68,173.96,128.95,87.21
10740,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,4198.58,429.33,0.00,0.00,0.00
10740,29-2,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,3000,low,1792.11,183.25,0.00,0.00,0.00
10740,33-1,First-Line Supervisors of Police and Detectives,Protective Service,3700,low,337.08,302.03,247.56,197.50,151.32
10740,33-3,Police and Sheriff's Patrol Officers,Protective Service,3700,low,663.60,594.59,487.37,388.82,297.91
10740,33-9,Security Guards,Protective Service,3700,low,1312.32,1175.86,963.81,768.92,589.13
10740,39-2,Animal Caretakers,Personal Care and Service,4300,low,428.84,169.07,0.00,0.00,0.00
10740,39-3,Amusement and Recreation Attendants,Personal Care and Service,4300,low,463.85,182.88,0.00,0.00,0.00
10740,39-5,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service,4300,low,489.40,192.95,0.00,0.00,0.00
10740,39-9,Childcare Workers,Personal Care and Service,4300,low,1654.08,652.13,0.00,0.00,0.00
10740,45-2,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry",6000,low,424.08,365.05,275.28,194.90,122.59
10740,47-1,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,6200,low,337.37,265.60,154.66,53.31,0.00
