state_abbr,occ_group,occ_group_code,demand_scenario,w_current,w_equilibrium,pct_change,supply_eq,demand_eq
IN,Food Preparation and Serving,4000,high,20714.869970704243,19707.9369069289,-4.621422003587951,65930.14826287587,65937.94257918581
IN,Food Preparation and Serving,4000,low,20714.945015313955,19468.949501668634,-5.777802659236609,65705.09749953738,65700.74969886446
IN,Food Preparation and Serving,4000,mid,20714.89793498743,19595.957400211737,-5.16318808324075,65825.16247587862,65822.87729076933
IN,Healthcare Practitioners and Technical,3000,high,87996.61153756743,90336.15133491592,2.6592579474827898,98331.88484758655,98333.16780225288
IN,Healthcare Practitioners and Technical,3000,low,87998.80285385456,89845.58470756104,2.099593598830858,98523.5479665374,98524.41926526806
IN,Healthcare Practitioners and Technical,3000,mid,87997.61647548153,90105.9354729844,2.3966353683999633,98422.10891106492,98423.12962576962
IN,Healthcare Support,3600,high,30549.41559999194,32019.71302854485,4.730788778701087,36585.24236216163,36590.26534480645
IN,Healthcare Support,3600,low,30550.014661719033,30865.982640994385,0.9574778927900671,35884.59393653211,35880.503640953044
IN,Healthcare Support,3600,mid,30549.68764864605,31478.367403987686,2.9603283411207952,36258.72580034105,36256.401044344035
IN,"Installation, Maintenance, and Repair",7000,high,55323.33653166128,57030.25214789585,2.715469212640303,46867.54582722482,46871.475997968184
IN,"Installation, Maintenance, and Repair",7000,low,55323.86329011505,56425.7409172735,1.6272073650044905,46761.74308525132,46761.33423397909
IN,"Installation, Maintenance, and Repair",7000,mid,55323.55452874749,56746.00274900855,2.2040249924498907,46817.70206171402,46818.16967831732
IN,Legal,2100,high,117116.76727548745,140293.55561453814,18.517579110067647,14493.856609309838,14521.199385617272
IN,Legal,2100,low,117117.66055050843,134255.48634956675,13.416533032449337,14323.159406480667,14346.698613296872
IN,Legal,2100,mid,117117.12036929677,137454.4478106752,16.11919282950886,14414.385462431215,14438.039349657849
IN,"Life, Physical, and Social Science",1600,high,81176.68900300289,107713.95049749233,36.441956473024725,16479.25496756977,16528.399412306877
IN,"Life, Physical, and Social Science",1600,low,81238.3246567678,102349.25070794801,29.133719265024993,16234.74492676764,16339.484430404174
IN,"Life, Physical, and Social Science",1600,mid,81237.45878102371,105031.29276739684,32.51615208537558,16352.354919198848,16457.47253054727
IN,Management,10,high,93295.16566862448,92998.59246931953,-0.4656679028263382,182280.3173715326,182282.72615647022
IN,Management,10,low,93297.95562678913,92834.1573053506,-0.6441100042798418,182963.48046707953,182964.95747638054
IN,Management,10,mid,93296.39985068575,92921.09819821324,-0.5496930760389757,182600.18060579067,182601.95791061383
IN,Office and Administrative Support,5000,high,37621.26763835531,37362.00361770781,-0.7988220894171774,174883.99377578215,174886.34473080424
IN,Office and Administrative Support,5000,low,37622.30876860861,37456.68656056983,-0.5496942415404946,176052.1051621511,176052.80156972166
IN,Office and Administrative Support,5000,mid,37621.773675260105,37407.22885857386,-0.6798384637628483,175431.9439773452,175433.03715814458
IN,Personal Care and Service,4300,high,24657.058526072036,23836.79834406537,-3.3072138860504396,48920.96919362552,48922.04218965212
IN,Personal Care and Service,4300,low,24657.546469350327,23693.51357268624,-3.889902497503089,48977.611046368576,48977.87047531718
IN,Personal Care and Service,4300,mid,24657.30742626173,23769.535948474047,-3.5807976106107056,48947.1502031291,48947.612148621614
IN,Production,7700,high,44080.315207263666,59862.81155261237,35.67975750556629,86305.21722685294,86340.99313685128
IN,Production,7700,low,44080.438924176684,59785.952626277896,35.50457181731204,86696.07880215901,86733.80757042387
IN,Production,7700,mid,44080.42830340259,59824.29128928703,35.59173920085312,86485.46466482762,86528.26354813894
IN,Protective Service,3700,high,57452.76666278839,50522.17695106088,-12.290753425078968,28698.9318682261,28700.64375761233
IN,Protective Service,3700,low,57454.057389610745,50308.23011029006,-12.662598743647477,28773.8994508984,28751.03707073405
IN,Protective Service,3700,mid,57453.48521476726,50427.96461113809,-12.454810475532451,28738.191288418064,28717.86703555642
IN,Sales and Related,4700,high,56362.17997034018,55101.81473479381,-2.35100403398806,134439.57436851584,134441.45548869533
IN,Sales and Related,4700,low,56364.35625848579,55167.3436228794,-2.2379509299157756,135217.35005283388,135218.07108113967
IN,Sales and Related,4700,mid,56363.22522732386,55133.166156916974,-2.2969115617765867,134803.85374129927,134804.87232388128
IN,Transportation and Material Moving,9000,high,41793.541459668035,47553.402636169674,13.466280309792392,103060.20031652009,103080.32568927923
IN,Transportation and Material Moving,9000,low,41793.62078201541,46769.043809929746,11.596069006207609,102380.35584422751,102369.68337663112
IN,Transportation and Material Moving,9000,mid,41793.504157956275,47185.05074274796,12.588356961981493,102744.43628533826,102738.78005983938
KS,Architecture and Engineering,1300,high,80402.40519020263,81010.14217438585,0.6468519502289054,9732.827172133164,9732.782090342498
KS,Architecture and Engineering,1300,low,80402.4866573587,80600.2956863906,0.13757450077105657,9751.838081310209,9751.775698835325
KS,Architecture and Engineering,1300,mid,80402.44213383766,80817.81506895315,0.407866444228918,9741.74639659798,9741.690082351266
KS,"Arts, Design, Entertainment, Sports, Media",2600,high,46087.22528675602,36248.22053649318,-19.86891183255985,7813.379623990656,7808.8877558829645
KS,"Arts, Design, Entertainment, Sports, Media",2600,low,46087.187531422926,35817.02449905154,-20.821870398425325,7801.931232770835,7798.14734262803
KS,"Arts, Design, Entertainment, Sports, Media",2600,mid,46087.24193741365,36045.33912982532,-20.31749772219577,7807.9932251228065,7803.690193826287
KS,Building and Grounds Cleaning and Maintenance,4200,high,26422.49631407084,26326.40207079715,-0.38355729564463986,14440.187894429677,14440.168238814053
KS,Building and Grounds Cleaning and Maintenance,4200,low,26422.76500822114,26254.808300918372,-0.6553170071282733,14499.786006645023,14499.735820958675
KS,Building and Grounds Cleaning and Maintenance,4200,mid,26422.623185486595,26292.695058082783,-0.5115059752690728,14468.131951049807,14468.096297202257
KS,Business and Financial Operations,500,high,70417.50946074918,66204.83945682898,-6.5505537666412135,23356.269207957273,23348.903734213614
KS,Business and Financial Operations,500,low,70416.79794586568,64465.04499295795,-9.006526083792805,23169.474855720902,23157.15038526086
KS,Business and Financial Operations,500,mid,70417.12232933892,65383.71090784347,-7.709522817542372,23268.608029529285,23258.13256571615
KS,Community and Social Service,2000,high,42353.23773609926,49943.70477827158,17.879132235314295,7582.479145574665,7582.330948309977
KS,Community and Social Service,2000,low,42353.102146289515,49112.71485630989,15.917975814228127,7558.877813721042,7558.669108429721
KS,Community and Social Service,2000,mid,42353.17497905306,49552.83646403574,16.95667348448045,7571.434128132356,7571.24762580847
KS,Computer and Mathematical,1000,high,76813.37692640074,72201.313762955,-5.971735357281855,16303.223427314222,16302.602314859287
KS,Computer and Mathematical,1000,low,76813.29297537627,70173.93732479298,-8.611995962298286,16160.15599614364,16159.273321614157
KS,Computer and Mathematical,1000,mid,76813.33686474523,71246.92335554611,-7.214645271643083,16236.31299507851,16235.520169425128
KS,Construction and Extraction,6200,high,48681.88365655916,48478.558410227146,-0.47472019992480596,23575.783752923173,23575.895123706287
KS,Construction and Extraction,6200,low,48681.93976664945,47840.594229712755,-1.784424707952597,23478.800087201394,23478.401593313953
KS,Construction and Extraction,6200,mid,48681.91080976682,48177.515761641305,-1.0927447611952756,23530.06008357212,23529.933502982545
KS,"Education, Training, and Library",2200,high,42733.65414086213,50318.34581937974,17.744851952095953,27324.502745036632,27324.78647915618
KS,"Education, Training, and Library",2200,low,42733.72415212071,49709.889770336136,16.32108059238734,27293.734020296444,27293.082978651364
KS,"Education, Training, and Library",2200,mid,42733.68623213455,50031.21320632886,17.072971062487824,27309.856231029327,27309.72206658336
KS,"Farming, Fishing, and Forestry",6000,high,27162.90178571429,34991.23465080163,28.819943196217995,337.95872588680686,337.95460834841
KS,"Farming, Fishing, and Forestry",6000,low,27162.901785714286,34611.85426828659,27.423257431538154,337.16587520477356,337.1591574899309
KS,"Farming, Fishing, and Forestry",6000,mid,27162.901785714286,34812.345168303116,28.16136303453367,337.58525705062107,337.57964064940387
KS,Food Preparation and Serving,4000,high,18412.96833813649,17347.863739334654,-5.329411643412626,19753.439679726034,19753.29810480133
KS,Food Preparation and Serving,4000,low,18412.99870621298,17076.31469436023,-6.811327138358888,19641.812569739704,19641.336333567644
KS,Food Preparation and Serving,4000,mid,18412.982583356257,17219.78938494941,-6.02833969036243,19700.917184495556,19700.609937145462
KS,Healthcare Practitioners and Technical,3000,high,71156.48999894153,72220.46544249603,1.5315733958201465,26606.038582037916,26605.91583994173
KS,Healthcare Practitioners and Technical,3000,low,71156.43582422876,71837.44937857446,0.993168188436388,26653.868997792095,26653.699454670175
KS,Healthcare Practitioners and Technical,3000,mid,71156.46361227526,72040.75768339334,1.2789596462061263,26628.492307725835,26628.339243742535
KS,Healthcare Support,3600,high,26775.396334225148,29883.29178287949,11.180104429559723,11395.621193467523,11395.743816693932
KS,Healthcare Support,3600,low,26775.232502862207,28876.561907560343,7.4345984235766815,11195.659744545646,11195.457102127511
KS,Healthcare Support,3600,mid,26775.320830856803,29409.537407342435,9.417517425719257,11302.10151367863,11302.069858842024
KS,"Installation, Maintenance, and Repair",7000,high,53032.1046223771,59829.36131429258,12.818336678655639,16102.15413215441,16102.100333502724
KS,"Installation, Maintenance, and Repair",7000,low,53032.11898522039,59046.083009474845,11.341328071151823,16041.394182435095,16041.148103840178
KS,"Installation, Maintenance, and Repair",7000,mid,53032.11156887573,59460.21881115296,12.12225361817852,16073.584218742524,16073.434561983671
KS,Legal,2100,high,84570.5885857718,72631.31164725113,-14.645002020916465,3495.375822707072,3489.415984618561
KS,Legal,2100,low,84570.18203560583,70530.02084169834,-17.115475894930615,3470.5108080883147,3464.144730552044
KS,Legal,2100,mid,84570.26035387866,71645.40486777887,-15.803564324939432,3483.8345049347745,3477.2675869566683
KS,"Life, Physical, and Social Science",1600,high,66945.93309500713,64035.88805019932,1.5744838123650733,4281.590208305439,4275.89039682345
