met2013,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
45780,Personal Care and Service,4300,low,543.044298079657,0.0,0.0,0.0,0.0
45780,Personal Care and Service,4300,mid,573.3590667294047,0.0,0.0,0.0,0.0
45780,Production,7700,high,12501.338775163393,11914.181828526716,11002.126613562044,10164.243616489332,9391.654655458453
45780,Production,7700,low,12973.2122237853,12374.30323633908,11443.996692575109,10589.350610361653,9801.308338890596
45780,Production,7700,mid,12724.326582436042,12131.616109067249,11210.936073611712,10365.13153823339,9585.239984059748
45780,Protective Service,3700,high,210.97702114143792,91.69379707594273,0.0,0.0,0.0
45780,Protective Service,3700,low,219.83369035109263,100.3312431012564,0.0,0.0,0.0
45780,Protective Service,3700,mid,215.16231542440343,95.7754955805858,0.0,0.0,0.0
45780,Sales and Related,4700,high,1386.368203366681,0.0,0.0,0.0,0.0
45780,Sales and Related,4700,low,1656.874328487345,0.0,0.0,0.0,0.0
45780,Sales and Related,4700,mid,1514.1981710638538,0.0,0.0,0.0,0.0
45780,Transportation and Material Moving,9000,high,10349.420890323572,9719.7697209787,8742.598309236033,7845.882851834578,7019.915941402798
45780,Transportation and Material Moving,9000,low,9988.239411033946,9367.853730896742,8405.057604910831,7521.529350132039,6707.705265974395
45780,Transportation and Material Moving,9000,mid,10178.74151361887,9553.468829920435,8583.090581597276,7692.60684883614,6872.3781341279555
45820,Community and Social Service,2000,high,897.2716200792049,760.5144974213456,555.9086830134713,376.2828153557341,217.68522262031297
45820,Community and Social Service,2000,low,810.1499035909376,678.0008790660097,480.28628978965185,306.7068704931421,153.44480741822213
45820,Community and Social Service,2000,mid,856.101512750038,721.5219860161717,520.1726785933513,343.4041114804854,187.3278686178062
45820,"Education, Training, and Library",2200,high,1218.0361076444724,998.1618158752945,659.4313433025654,351.3353043031693,69.94118150196391
45820,"Education, Training, and Library",2200,low,1118.6363476222475,901.8664661401908,567.9166667971713,264.16684222311596,0.0
45820,"Education, Training, and Library",2200,mid,1171.0639065267442,952.6566302144038,616.1853053938821,310.1431069474429,30.623936479501022
45820,Healthcare Practitioners and Technical,3000,high,36.15205621527366,0.0,0.0,0.0,0.0
45820,Healthcare Support,3600,high,601.8400649952409,499.3359312605312,340.89515341452216,196.2030380974834,63.54247388199701
45820,Healthcare Support,3600,low,427.7568497718935,330.2808398683974,179.60755780025738,42.00392846670866,0.0
45820,Healthcare Support,3600,mid,519.5755625974161,419.44751149904096,264.6773297769819,123.33493873656288,0.0
45820,"Installation, Maintenance, and Repair",7000,high,197.7919861715941,23.02182643076094,0.0,0.0,0.0
45820,"Installation, Maintenance, and Repair",7000,low,105.14857919153656,0.0,0.0,0.0,0.0
45820,"Installation, Maintenance, and Repair",7000,mid,154.01255708720055,0.0,0.0,0.0,0.0
45820,Production,7700,high,2015.6714368566509,1814.249309418972,1501.330473729673,1213.813865534341,948.6627596787604
45820,Production,7700,low,1989.4899255231676,1788.7198504324588,1476.8136747544522,1190.227152591463,925.9334609930538
45820,Production,7700,mid,2003.299141232924,1802.185146671768,1489.7448520745556,1202.667763935994,937.9218364723956
45820,Protective Service,3700,high,630.6514877347631,554.4355310901442,435.99847937285995,327.1400158642755,226.7173606163069
45820,Protective Service,3700,low,608.97242571692,533.293076333628,415.68956397869897,307.596859886969,207.8802978645276
45820,Protective Service,3700,mid,620.4068627888059,544.4444844646441,426.4013288549499,317.90473146483737,217.81574656969315
45940,"Arts, Design, Entertainment, Sports, Media",2600,high,187.2039062653298,105.08326638994733,0.0,0.0,0.0
45940,"Arts, Design, Entertainment, Sports, Media",2600,low,144.52496279957268,63.31325726164505,0.0,0.0,0.0
45940,"Arts, Design, Entertainment, Sports, Media",2600,mid,167.0356089221832,85.34449369044341,0.0,0.0,0.0
45940,Building and Grounds Cleaning and Maintenance,4200,high,822.929287323841,0.0,0.0,0.0,0.0
45940,Building and Grounds Cleaning and Maintenance,4200,low,761.8048769780416,0.0,0.0,0.0,0.0
45940,Building and Grounds Cleaning and Maintenance,4200,mid,794.0444278903406,0.0,0.0,0.0,0.0
45940,Business and Financial Operations,500,high,583.9143993841244,416.8474469125849,153.73796569419392,0.0,0.0
45940,Business and Financial Operations,500,low,398.43159671837384,234.03360069727387,0.0,0.0,0.0
45940,Business and Financial Operations,500,mid,496.2629250873342,330.4572106624091,69.33397739264365,0.0,0.0
45940,Community and Social Service,2000,high,442.41381818909394,246.21203388400815,0.0,0.0,0.0
45940,Community and Social Service,2000,low,310.2714972418157,121.05906997631972,0.0,0.0,0.0
45940,Community and Social Service,2000,mid,379.9688417192219,187.06993746609805,0.0,0.0,0.0
45940,Computer and Mathematical,1000,high,3614.85373665135,3233.1743214066846,2647.8939239918927,2118.5238918839605,1637.620604994735
45940,Computer and Mathematical,1000,low,3168.620004968123,2802.380944773662,2240.7707981820586,1732.8025174092509,1271.3349527439086
45940,Computer and Mathematical,1000,mid,3403.9821954579747,3029.5992511764707,2455.5044318951186,1936.24797921394,1464.529207991195
45940,"Education, Training, and Library",2200,high,3076.4461146591766,2596.188147777273,1856.41883714675,1183.6638624099487,569.3128269886347
